,Floor,Kitchen,Bedrooms,Bathrooms,Toilets,Primary Energy Consumption (in kWh/m²),Energy Class,CO₂ emission,Heating Type,Double Glazing,Rent (in €),Additional Costs (in €),Tenement,House Type,Living Area (in m²),Furnished,Building Condition,Elevator,Total Rent (in €)
767,0,USA hyper equipped,2,2,2,327,F,70,Gas,Yes,1650.0,150,No,Apartment ,125,Yes,As new,No,1800.0
769,0,Hyper equipped,2,1,2,227,Not specified,55,Gas,Yes,1950.0,300,No,Apartment ,210,No,As new,Unknown,2250.0
770,1,Hyper equipped,1,1,1,193,D,38,Gas,Yes,1150.0,0,No,Apartment ,85,No,As new,No,1150.0
771,3,Installed,2,1,1,365,Not specified,79,Gas,Yes,800.0,0,No,Apartment ,60,Unknown,Just renovated,No,800.0
772,2,Installed,2,1,2,181,Not specified,52,Gas,Yes,1550.0,300,No,Apartment ,145,No,Just renovated,Yes,1850.0
774,3,Installed,2,1,2,170,D,34,Gas,Yes,1500.0,140,No,Apartment ,90,No,As new,Yes,1640.0
775,0,Hyper equipped,2,1,1,308,F,48,Gas,Yes,1395.0,0,No,Apartment ,85,No,Just renovated,Unknown,1395.0
776,0,Hyper equipped,2,1,1,308,F,48,Gas,Yes,1395.0,0,No,Duplex ,85,No,Just renovated,Unknown,1395.0
777,4,Hyper equipped,2,1,1,342,F,68,Gas,Yes,1300.0,100,No,Others,90,Yes,As new,Unknown,1400.0
778,3,Installed,2,1,3,255,Not specified,53,Gas,No,1350.0,20,No,Apartment ,85,No,As new,Unknown,1370.0
779,2,Hyper equipped,2,1,2,120,C,38,Gas,Yes,1450.0,100,No,Apartment ,80,No,As new,Yes,1550.0
780,3,USA hyper equipped,2,2,1,58,B,59,Gas,Yes,1120.0,220,No,Apartment ,95,No,As new,Yes,1340.0
781,1,USA hyper equipped,2,2,2,61,B,47,Gas,Yes,1300.0,220,No,Apartment ,100,Yes,As new,Yes,1520.0
782,0,USA hyper equipped,2,2,2,64,B,51,Gas,Yes,1170.0,230,No,Others,97,No,As new,Yes,1400.0
783,2,USA hyper equipped,1,1,1,48,B,40,Gas,Yes,925.0,150,No,Apartment ,87,No,As new,Unknown,1075.0
784,5,Installed,3,1,2,176,D,33,Gas,Yes,1700.0,200,No,Apartment ,160,No,As new,Yes,1900.0
785,1,Installed,1,1,1,295,F,56,Gas,Yes,680.0,55,No,Apartment ,40,No,Just renovated,Unknown,735.0
787,2,Installed,1,1,1,237,E,47,Gas,No,750.0,75,No,Apartment ,70,No,As new,Unknown,825.0
788,5,Hyper equipped,2,1,2,75,B,15,Gas,No,1350.0,120,No,Apartment ,103,No,As new,Unknown,1470.0
789,1,Hyper equipped,3,2,2,294,F,58,Gas,Yes,2250.0,130,No,Apartment ,175,No,As new,Yes,2380.0
791,2,Hyper equipped,1,1,1,365,Not specified,79,Gas,Yes,800.0,100,No,Apartment ,80,Unknown,As new,No,900.0
792,0,Installed,1,1,1,310,F,64,Gas,Yes,760.0,140,No,Others,65,No,Good,No,900.0
793,1,Hyper equipped,2,1,1,278,F,55,Gas,Yes,1275.0,50,No,Apartment ,75,No,Good,No,1325.0
794,3,Installed,2,1,1,146,C,29,Gas,Yes,1150.0,60,No,Apartment ,72,No,As new,Unknown,1210.0
795,1,USA hyper equipped,3,1,1,173,Not specified,41,Gas,Yes,1900.0,350,No,Apartment ,160,Yes,As new,Yes,2250.0
796,4,Installed,3,2,2,247,Not specified,63,Gas,No,1250.0,285,No,Others,81,No,As new,Unknown,1535.0
797,3,Hyper equipped,1,1,1,277,Not specified,61,Gas,Yes,750.0,0,No,Apartment ,50,Yes,Good,Unknown,750.0
798,4,USA hyper equipped,3,2,3,176,D,28,Others,Yes,1650.0,175,No,Apartment ,110,No,As new,Yes,1825.0
799,3,USA hyper equipped,3,2,2,342,F,68,Gas,Yes,2000.0,150,No,Apartment ,120,Yes,As new,Yes,2150.0
801,2,Hyper equipped,1,1,1,411,Not specified,92,Gas,No,975.0,85,No,Apartment ,85,Unknown,As new,Unknown,1060.0
802,1,USA hyper equipped,1,1,12,263,Not specified,9,Gas,Yes,900.0,175,No,Apartment ,70,No,As new,Yes,1075.0
805,0,USA installed,1,1,1,140,C,27,Gas,Yes,1050.0,25,No,Apartment ,65,No,As new,No,1075.0
806,2,Installed,1,1,1,291,F,68,Gas,Yes,850.0,200,No,Others,40,Yes,Good,Unknown,1050.0
807,0,Others,5,1,2,155,D,30,Gas,Yes,2500.0,0,No,Others,200,No,As new,Unknown,2500.0
808,5,Hyper equipped,2,1,2,162,D,32,Gas,Yes,1550.0,230,No,Apartment ,105,No,As new,Yes,1780.0
809,2,USA installed,2,1,1,256,Not specified,50,Gas,Yes,650.0,250,No,Others,45,Yes,As new,Unknown,900.0
810,1,Hyper equipped,1,1,1,178,D,38,Gas,Yes,1100.0,160,No,Apartment ,70,Yes,As new,No,1260.0
811,0,Hyper equipped,1,1,1,291,F,68,Gas,Yes,800.0,200,No,Others,40,Yes,Good,Unknown,1000.0
812,6,USA hyper equipped,2,1,1,217,E,65,Others,Yes,1200.0,150,No,Apartment ,75,No,Good,Unknown,1350.0
813,5,Others,1,1,1,381,Not specified,73,Gas,Yes,890.0,90,No,Apartment ,74,No,Good,Yes,980.0
814,4,Hyper equipped,1,1,1,277,F,83,Gas,Yes,800.0,170,No,Apartment ,70,No,Good,Yes,970.0
815,0,Hyper equipped,1,1,1,344,F,69,Gas,Yes,700.0,0,No,Others,49,No,Good,No,700.0
818,1,Hyper equipped,2,2,2,204,Not specified,44,Gas,Yes,1650.0,100,No,Apartment ,93,Yes,Good,Yes,1750.0
819,3,Hyper equipped,3,1,1,206,Not specified,53,Gas,Yes,2400.0,170,No,Apartment ,135,No,Good,Yes,2570.0
